"filepath"	"local"	"posted"	"tagged"	"assigned_to"
"./mm_nwis_03036000-246-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03067510-247-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03067510-248-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03073000-249-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03081000-250-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03081000-251-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03098600-252-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03105500-253-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03106000-254-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03183500-255-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03183500-256-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03219500-257-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03219500-258-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03228300-259-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03255349-260-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03259757-261-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03259813-262-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03289200-263-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03292470-264-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03292474-265-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03292475-266-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03293500-267-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03293530-268-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03294570-269-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03297900-270-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298000-271-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298135-272-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298150-273-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298250-274-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
