"filepath"	"local"	"posted"	"tagged"	"assigned_to"
"./mm_nwis_08155500-11-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234000-33-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02234500-35-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04249000-88-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_08052745-111-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01649190-180-170406 1.0.2 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02336360-235-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03183500-255-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03259757-261-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03298300-275-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03301900-276-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03339000-281-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_03538830-290-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04040000-294-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04067500-296-170406 1.0.2 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_040871488-303-170406 1.0.2 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124200-308-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04124200-309-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125460-310-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04125460-311-170406 1.0.2 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04157005-322-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04168400-325-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04174500-326-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04208000-332-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_04213500-334-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05057000-336-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05406469-339-170406 1.0.2 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_05435950-343-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_06818000-358-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07048600-367-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_07075270-371-170406 1.0.2 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_14210000-427-170406 1.0.2 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
