"filepath"	"local"	"posted"	"tagged"	"assigned_to"
"./mm_nwis_01400500-12-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01400500-13-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01400500-14-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01408500-15-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01408500-16-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01473500-20-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01473500-21-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01480617-23-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01480617-24-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01480870-25-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01480870-26-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01481000-27-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01481000-28-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01493112-32-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01548303-36-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01611500-41-170214 1.0.1 bayes_30min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01611500-42-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01648010-49-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01648010-50-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01649190-51-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01649190-52-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01649500-53-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_01649500-54-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_0212378405-71-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_0212378405-72-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02162035-78-170214 1.0.1 bayes_5min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02162035-79-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02168504-80-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02169000-81-170214 1.0.1 bayes_15min.RData"	FALSE	FALSE	FALSE	NA
"./mm_nwis_02169000-82-170214 1.0.1 bayes_60min.RData"	FALSE	FALSE	FALSE	NA
